energy,cache-misses,context-switches,page-faults,minor-faults,major-faults,branch-misses,instructions,cpu-cycles,cache-references,msr/tsc/,cpu-clock,ex_ret_instr,seconds user,seconds sys,accept,accept4,access,alarm,arch_prctl,bind,brk,clock_gettime,clock_nanosleep,clone,close,connect,execve,fcntl,flock,fsync,ftruncate,futex,getcwd,getdents64,geteuid,getpeername,getpid,getppid,getrandom,getrusage,getsockname,getsockopt,gettimeofday,getuid,ioctl,kill,listen,lseek,madvise,mkdir,mlock,mmap,mprotect,msync,munmap,newfstatat,openat,perf_event_open,pipe2,prctl,pread64,preadv,preadv2,prlimit64,pselect6,pwritev,pwritev2,read,readv,recvfrom,rmdir,rseq,rt_sigaction,rt_sigprocmask,sched_getaffinity,sendto,set_robust_list,set_tid_address,setpgid,setsockopt,shutdown,sigaltstack,socket,statfs,sysinfo,times,truncate,umask,uname,unlink,wait4,write,writev
47.51,63480019,22204,1013,434,579,9805941,8218363374,3570604981,234494227,4744816900,2374.98,8228341346,0.90449,1.47955,0,0,72,4,4,0,16,3,1,4,540,3,8,3,6,9915,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9917,0,1,1,257,78,0,12,182,694,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,10025,0
46.99,55742353,18645,1013,434,579,8609313,8189793344,3421844742,283272273,4517326660,2261.21,8191831570,0.828178,1.460876,0,0,72,4,4,0,16,3,1,4,540,3,8,3,6,9284,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9286,0,1,1,258,78,0,12,182,694,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9406,0
47.24,55876728,18798,1015,436,579,8693116,8268932915,3457393894,283890553,4561779200,2283.4,8263670333,0.782241,1.525509,0,0,72,4,4,0,16,3,1,4,540,3,8,3,6,9370,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9372,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9492,0
47.42,58031248,19056,1014,435,579,8708966,8360046075,3526957759,289026289,4637807640,2321.38,8366583743,0.835505,1.517298,0,0,72,4,4,0,16,3,1,4,540,3,8,3,6,9496,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9498,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9616,0
47.36,81524396,19117,1013,434,579,13944998,8758086190,4074415197,275401798,5344821680,2675.56,8762202267,0.869604,1.832125,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,9316,3,1,1,76,4,0,11,3,3,2,0,0,7,3,20,1,0,9318,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9435,0
47.25,78704414,18614,1014,435,579,13593753,8555942806,3987891647,269699034,5224441460,2615.26,8581285191,0.779747,1.85738,0,0,72,4,4,0,16,3,1,4,540,3,8,3,6,9103,0,1,1,76,3,0,12,3,3,2,0,0,7,3,20,1,0,9105,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9224,0
42.95,21696435,4130,1013,434,579,4016112,1848561084,1056182990,73138404,1510641940,755.78,1818444583,0.215382,0.582396,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,2042,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,2044,0,1,1,257,78,0,12,182,695,14,2,12,0,0,0,38,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,2164,0
40.83,20616710,3443,1016,437,579,4022035,1480447167,969905148,55456115,1376222500,688.49,1452259110,0.232537,0.514747,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,1657,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,1659,0,1,1,258,78,0,12,182,694,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,1779,0
40.63,27051986,6064,1016,437,579,4965215,2531976985,1376972946,83648826,1896801580,948.83,2506331679,0.254824,0.754884,0,0,72,4,4,0,16,3,1,4,539,3,8,3,6,2880,3,1,1,75,4,0,12,3,3,2,0,0,7,3,20,1,0,2882,0,1,1,258,78,0,12,182,694,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,3002,0
47.92,91400426,32200,1013,434,579,13175501,14106747581,5780664477,477538231,7508440880,3758.15,14102488126,1.439849,2.359819,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,16054,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,16056,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,16176,0
48.54,89202316,31998,1013,434,579,13201299,14028104325,5779444597,481927165,7517440360,3762.73,14022270453,1.313479,2.460054,0,0,72,4,4,0,16,3,1,4,540,3,8,3,6,15959,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,15961,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,577,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,16081,0
48.52,89916387,32031,1012,433,579,13157944,14031816719,5759798708,480896860,7490636600,3749.18,14033341974,1.445748,2.320484,0,0,72,4,4,0,16,3,1,4,540,3,8,3,6,15967,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,15969,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,578,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,16089,0
48.12,112749642,27920,1014,435,579,18917959,12775204170,5765513462,395016757,7497357220,3753.08,12754006019,1.238388,2.531894,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,13562,0,1,1,76,4,0,12,3,3,2,0,0,7,3,19,1,0,13563,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,13683,0
47.22,77959467,19125,1015,436,579,13076358,8786672052,3993089905,271296805,5221084460,2613.59,8788287167,0.776848,1.850421,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,9341,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9343,0,1,1,258,78,0,12,182,694,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9461,0
46.82,63876792,22821,1017,438,579,9884533,10027307541,4137984439,343438798,5424076520,2715.03,10009008070,0.972397,1.758652,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,11376,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,11378,0,1,1,258,78,0,12,182,693,14,2,12,0,0,0,39,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,11498,0
46.28,65763970,23793,1014,435,579,10286214,8702602761,3801918556,250099278,5037583880,2521.43,8688135135,0.985111,1.554753,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,10554,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,10556,0,1,1,258,78,0,12,182,694,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,10671,0
46.55,61285864,21415,1016,437,579,9391428,7932392668,3402407317,229065062,4499726640,2252.15,7953793567,0.878311,1.401346,0,0,72,4,4,0,16,3,1,4,540,3,8,3,6,9574,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9576,0,1,1,258,78,0,12,182,694,14,2,12,0,0,0,39,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9695,0
46.38,57750916,19240,1016,437,579,8695652,8441757625,3529210752,291316891,4643303240,2323.95,8430732056,0.844583,1.507675,0,0,72,4,4,0,16,3,1,4,538,3,8,3,6,9585,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9587,0,1,1,257,78,0,12,182,694,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9707,0
46.72,53968062,18431,1014,435,579,8619060,8097652771,3449721895,279768258,4554740240,2280.06,8109400208,0.767434,1.536276,0,0,72,4,4,0,16,3,1,4,540,3,8,3,6,9181,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9183,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9303,0
47.25,56288063,19500,1016,437,579,8627454,8545825874,3590119515,295776573,4716487040,2360.77,8550803831,0.963743,1.420907,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,9714,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9716,0,1,1,257,78,0,12,182,695,14,2,12,0,0,0,38,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9836,0
47.73,113613767,27611,1014,435,579,18922947,12626872904,5778722398,396080036,7498893340,3753.61,12663557227,1.148415,2.627107,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,13420,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,13422,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,13541,0
47.46,96151912,23064,1017,438,579,16202930,10576679956,4915867852,331803396,6409459820,3208.53,10594204787,1.040042,2.189286,0,0,72,4,4,0,16,3,1,4,540,3,8,3,6,11241,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,11243,0,1,1,258,77,0,12,182,695,14,2,12,0,0,0,38,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,11357,0
47.46,55675743,19277,1014,436,578,8564671,8458821665,3536204614,289011085,4640933380,2323.1,8451873795,0.891599,1.449589,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,9610,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9612,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,38,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9732,0
47.41,60435052,21419,1016,437,579,9226632,7932724057,3399650344,224123766,4512862600,2259.11,7934040636,0.905076,1.370682,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,9578,0,1,1,76,4,0,12,3,3,2,0,0,6,3,20,1,0,9580,0,1,1,258,78,0,12,182,694,14,2,12,0,0,0,38,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9697,0
47.5,62901540,22124,1016,437,579,9753113,8161455524,3523591741,233478802,4659950380,2332.53,8160873130,0.897697,1.461837,0,0,72,4,4,0,16,3,1,4,539,3,8,3,6,9850,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9852,0,1,1,258,78,0,12,182,694,14,2,12,0,0,0,37,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9970,0
47.48,62766034,20714,1015,436,579,9548433,9094425438,3850246898,310804997,5078214180,2541.96,9092551471,0.950698,1.6131,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,10321,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,10323,0,1,1,257,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,10443,0
